#  Energy/atom in reduced units
#  Step    Kinetic    Potential     Total
    1     1.11119    -5.69144    -4.58025
    2     1.10557    -5.68584    -4.58027
    3     1.09601    -5.67630    -4.58029
    4     1.08222    -5.66254    -4.58033
    5     1.06384    -5.64421    -4.58037
    6     1.04047    -5.62088    -4.58041
    7     1.01169    -5.59214    -4.58045
    8     0.97714    -5.55762    -4.58049
    9     0.93661    -5.51712    -4.58051
   10     0.89020    -5.47070    -4.58050
   11     0.83844    -5.41889    -4.58045
   12     0.78244    -5.36280    -4.58036
   13     0.72392    -5.30416    -4.58023
   14     0.66518    -5.24526    -4.58008
   15     0.60874    -5.18868    -4.57993
   16     0.55701    -5.13683    -4.57982
   17     0.51185    -5.09161    -4.57976
   18     0.47437    -5.05411    -4.57974
   19     0.44490    -5.02466    -4.57976
   20     0.42316    -5.00296    -4.57980
   21     0.40851    -4.98836    -4.57985
   22     0.40011    -4.98001    -4.57990
   23     0.39704    -4.97699    -4.57995
   24     0.39834    -4.97834    -4.58000
   25     0.40305    -4.98310    -4.58005
   26     0.41027    -4.99037    -4.58010
   27     0.41917    -4.99930    -4.58014
   28     0.42904    -5.00920    -4.58016
   29     0.43934    -5.01952    -4.58018
   30     0.44971    -5.02990    -4.58019
   31     0.45997    -5.04016    -4.58019
   32     0.47005    -5.05023    -4.58018
   33     0.47995    -5.06012    -4.58018
   34     0.48967    -5.06985    -4.58018
   35     0.49917    -5.07935    -4.58019
   36     0.50833    -5.08853    -4.58019
   37     0.51703    -5.09723    -4.58020
   38     0.52512    -5.10532    -4.58021
   39     0.53252    -5.11273    -4.58021
   40     0.53920    -5.11940    -4.58021
   41     0.54515    -5.12535    -4.58020
   42     0.55042    -5.13062    -4.58020
   43     0.55504    -5.13523    -4.58019
   44     0.55908    -5.13926    -4.58019
   45     0.56263    -5.14281    -4.58018
   46     0.56580    -5.14597    -4.58017
   47     0.56871    -5.14888    -4.58017
   48     0.57147    -5.15164    -4.58016
   49     0.57415    -5.15431    -4.58016
   50     0.57676    -5.15692    -4.58017
   51     0.57928    -5.15945    -4.58017
   52     0.58166    -5.16183    -4.58017
   53     0.58383    -5.16401    -4.58018
   54     0.58575    -5.16594    -4.58018
   55     0.58738    -5.16756    -4.58018
   56     0.58868    -5.16886    -4.58018
   57     0.58962    -5.16981    -4.58018
   58     0.59018    -5.17037    -4.58019
   59     0.59032    -5.17051    -4.58018
   60     0.59003    -5.17021    -4.58018
   61     0.58932    -5.16950    -4.58018
   62     0.58825    -5.16841    -4.58017
   63     0.58692    -5.16707    -4.58016
   64     0.58548    -5.16562    -4.58014
   65     0.58409    -5.16422    -4.58013
   66     0.58292    -5.16304    -4.58012
   67     0.58210    -5.16220    -4.58011
   68     0.58172    -5.16182    -4.58010
   69     0.58181    -5.16192    -4.58010
   70     0.58236    -5.16247    -4.58011
   71     0.58329    -5.16341    -4.58011
   72     0.58449    -5.16461    -4.58012
   73     0.58579    -5.16592    -4.58013
   74     0.58702    -5.16716    -4.58015
   75     0.58801    -5.16817    -4.58016
   76     0.58860    -5.16877    -4.58017
   77     0.58867    -5.16884    -4.58017
   78     0.58815    -5.16832    -4.58017
   79     0.58708    -5.16724    -4.58016
   80     0.58560    -5.16574    -4.58015
   81     0.58397    -5.16410    -4.58012
   82     0.58256    -5.16266    -4.58010
   83     0.58176    -5.16183    -4.58007
   84     0.58196    -5.16201    -4.58005
   85     0.58343    -5.16347    -4.58004
   86     0.58630    -5.16635    -4.58005
   87     0.59052    -5.17058    -4.58006
   88     0.59583    -5.17592    -4.58008
   89     0.60186    -5.18197    -4.58011
   90     0.60814    -5.18828    -4.58014
   91     0.61419    -5.19436    -4.58017
   92     0.61957    -5.19977    -4.58019
   93     0.62390    -5.20411    -4.58021
   94     0.62689    -5.20712    -4.58022
   95     0.62836    -5.20859    -4.58023
   96     0.62821    -5.20844    -4.58023
   97     0.62644    -5.20667    -4.58022
   98     0.62315    -5.20336    -4.58021
   99     0.61851    -5.19871    -4.58020
  100     0.61281    -5.19298    -4.58018
