
Cutoff distance for the list =      2.70000

List of neighbours of atom =     1
   Position of atom     1 =     -2.39273    -2.42260    -2.57073
   Number of neighbours    =    65
   Index       Position (reduced units)    Distance (reduced units)
    2    -1.57968    -1.63273    -2.68834     1.13964
    3    -2.52540    -1.77262    -1.61674     1.16197
    4    -1.68396    -2.51921    -1.68549     1.13814
    5    -0.89068    -2.47782    -2.53344     1.50353
    6    -0.02695    -1.72484    -2.51059     2.46727
    7    -0.75199    -1.42334    -1.71307     2.10384
    8    -0.00409    -2.60286    -1.72350     2.54085
    9     0.61491    -2.58963    -2.67224     2.04053
   10     1.70229    -1.76287    -2.48345     1.15480
   11     0.86774    -1.75363    -1.60462     2.13151
   12     1.71689    -2.54461    -1.55753     1.38016
   13    -2.53952    -0.89073    -2.40280     1.54802
   14    -1.82498    -0.05379    -2.68761     2.43870
   16    -1.74249    -0.59686    -1.71990     2.11661
   17    -0.86254    -0.75232    -2.60712     2.26553
   21     1.01199    -0.91200    -2.48534     2.22696
   22     1.77048    -0.01166    -2.51222     2.56567
   24     1.68764    -0.80152    -1.58555     2.12533
   25    -2.69245     0.87266    -2.48011     1.77142
   26    -1.80601     1.68502    -2.38584     1.11603
   27    -2.54312     1.57079    -1.52134     1.48886
   28    -1.68438     0.70969    -1.68816     2.21708
   29    -1.09935     0.69685    -2.56820     2.31446
   30    -0.28631     1.69008    -2.55256     2.30109
   31    -0.84230     1.77178    -1.61317     2.00843
   33     0.73989     0.97507    -2.61139     2.51563
   34     1.68639     1.78375    -2.46141     1.27510
   35     0.86343     1.82123    -1.82194     2.09056
   36     1.54787     0.91445    -1.72500     2.19482
   37    -2.52446    -2.51491    -0.77917     1.79877
   38    -1.60727    -1.55964    -1.08527     1.88898
   39    -2.48533    -1.55306    -0.02588     2.64279
   40    -1.78655    -2.49362     0.03613     2.50734
   41    -0.84896    -2.44362    -0.60189     2.50201
   45     0.81763    -2.53090    -0.81752     2.53547
   46     1.70696    -1.60736    -0.76708     2.19081
   48     1.64730    -2.46767    -0.07034     2.69286
   49    -2.39731    -0.84418    -0.86418     2.32459
   61    -2.36260     0.79529    -0.76470     2.56483
   62    -1.66666     1.65655    -0.66997     2.24967
   63    -2.50167     1.71004     0.02247     2.61034
   70     1.57834     1.65415    -0.87962     2.21933
   73    -2.46985    -2.50876     0.92771     1.54468
   74    -1.74452    -1.72551     0.93666     1.80313
   75    -2.59860    -1.63568     1.70078     1.11818
   76    -1.70934    -2.50961     1.63362     1.08207
   77    -0.88477    -2.55197     0.81920     2.23818
   79    -0.82511    -1.70314     1.55124     1.95336
   80    -0.05181    -2.60902     1.53442     2.52712
   81     0.81586    -2.48541     0.91677     2.40001
   82     1.66950    -1.74633     0.84823     2.00869
   83     0.82472    -1.77330     1.68748     2.08522
   84     1.77061    -2.52949     1.73772     1.14508
   85    -2.56356    -0.94226     0.82686     2.21678
   87    -2.67705    -0.06345     1.63898     2.51670
   88    -1.64017    -0.79619     1.61875     1.98314
   96     1.64049    -0.92043     1.60974     2.00109
   97    -2.80065     0.86513     0.79568     2.45550
   98    -1.70362     1.74198     0.77696     2.02458
   99    -2.47450     1.51018     1.76875     1.31110
  100    -1.64417     0.58000     1.44096     2.40028
  103    -0.84826     1.66708     1.54481     2.03435
  106     1.65379     1.80179     0.83734     2.07535
  107     0.87042     1.62857     1.51847     2.24276
  108     1.61812     0.89938     1.76353     2.12143

List of neighbours of atom =     2
   Position of atom     2 =     -1.57968    -1.63273    -2.68834
   Number of neighbours    =    64
   Index       Position (reduced units)    Distance (reduced units)
    3    -2.52540    -1.77262    -1.61674     1.43607
    4    -1.68396    -2.51921    -1.68549     1.34255
    5    -0.89068    -2.47782    -2.53344     1.10132
    6    -0.02695    -1.72484    -2.51059     1.56559
    7    -0.75199    -1.42334    -1.71307     1.29618
    8    -0.00409    -2.60286    -1.72350     2.08676
    9     0.61491    -2.58963    -2.67224     2.39419
   10     1.70229    -1.76287    -2.48345     1.77350
   11     0.86774    -1.75363    -1.60462     2.67935
   12     1.71689    -2.54461    -1.55753     2.26839
   13    -2.53952    -0.89073    -2.40280     1.24635
   14    -1.82498    -0.05379    -2.68761     1.59788
   15    -2.62106     0.09831    -1.54727     2.32014
   16    -1.74249    -0.59686    -1.71990     1.42738
   17    -0.86254    -0.75232    -2.60712     1.13842
   18     0.08466    -0.06892    -2.39599     2.30239
   19    -0.79907    -0.11139    -1.71308     1.96849
   20     0.18390    -0.78813    -1.65091     2.21356
   21     1.01199    -0.91200    -2.48534     2.55911
   22     1.77048    -0.01166    -2.51222     2.34741
   24     1.68764    -0.80152    -1.58555     2.24615
   26    -1.80601     1.68502    -2.38584     1.76202
   27    -2.54312     1.57079    -1.52134     2.37872
   28    -1.68438     0.70969    -1.68816     2.54917
   29    -1.09935     0.69685    -2.56820     2.38162
   30    -0.28631     1.69008    -2.55256     2.15309
   31    -0.84230     1.77178    -1.61317     2.09059
   34     1.68639     1.78375    -2.46141     2.41370
   37    -2.52446    -2.51491    -0.77917     2.30560
   38    -1.60727    -1.55964    -1.08527     1.60497
   39    -2.48533    -1.55306    -0.02588     2.54430
   40    -1.78655    -2.49362     0.03613     2.47790
   41    -0.84896    -2.44362    -0.60189     2.35474
   42     0.10174    -1.77220    -0.68149     2.62184
   43    -0.82126    -1.61315     0.08127     2.39264
   46     1.70696    -1.60736    -0.76708     2.60037
   49    -2.39731    -0.84418    -0.86418     2.14893
   50    -1.57191     0.12751    -0.82291     2.56483
   52    -1.49681    -0.78940    -0.16641     2.65568
   53    -0.73527    -0.80314    -0.85412     2.18303
   62    -1.66666     1.65655    -0.66997     2.67249
   73    -2.46985    -2.50876     0.92771     1.89315
   74    -1.74452    -1.72551     0.93666     1.42638
   75    -2.59860    -1.63568     1.70078     1.20841
   76    -1.70934    -2.50961     1.63362     1.13999
   77    -0.88477    -2.55197     0.81920     1.91641
   78    -0.02695    -1.66417     0.90452     2.12194
   79    -0.82511    -1.70314     1.55124     1.10139
   80    -0.05181    -2.60902     1.53442     1.98832
   82     1.66950    -1.74633     0.84823     2.33928
   83     0.82472    -1.77330     1.68748     2.49808
   84     1.77061    -2.52949     1.73772     2.00764
   85    -2.56356    -0.94226     0.82686     1.94064
   86    -1.70677    -0.33000     0.74129     2.07428
   87    -2.67705    -0.06345     1.63898     2.04280
   88    -1.64017    -0.79619     1.61875     1.11303
   89    -0.60307    -0.62585     0.81582     2.07910
   91    -0.68461     0.00855     1.67211     1.98874
   92    -0.00114    -0.95411     1.79835     1.80475
   96     1.64049    -0.92043     1.60974     2.08887
   98    -1.70362     1.74198     0.77696     2.29356
   99    -2.47450     1.51018     1.76875     2.17565
  100    -1.64417     0.58000     1.44096     2.39322
  103    -0.84826     1.66708     1.54481     2.05136

List of neighbours of atom =     3
   Position of atom     3 =     -2.52540    -1.77262    -1.61674
   Number of neighbours    =    64
   Index       Position (reduced units)    Distance (reduced units)
    4    -1.68396    -2.51921    -1.68549     1.12701
    5    -0.89068    -2.47782    -2.53344     2.00249
    6    -0.02695    -1.72484    -2.51059     2.65396
    7    -0.75199    -1.42334    -1.71307     1.81005
    8    -0.00409    -2.60286    -1.72350     2.65300
    9     0.61491    -2.58963    -2.67224     2.32074
   10     1.70229    -1.76287    -2.48345     1.18708
   11     0.86774    -1.75363    -1.60462     1.64581
   12     1.71689    -2.54461    -1.55753     1.11080
   13    -2.53952    -0.89073    -2.40280     1.18146
   14    -1.82498    -0.05379    -2.68761     2.14284
   15    -2.62106     0.09831    -1.54727     1.87467
   16    -1.74249    -0.59686    -1.71990     1.41633
   17    -0.86254    -0.75232    -2.60712     2.18792
   19    -0.79907    -0.11139    -1.71308     2.39774
   20     0.18390    -0.78813    -1.65091     2.52921
   21     1.01199    -0.91200    -2.48534     1.93632
   22     1.77048    -0.01166    -2.51222     2.11063
   23     0.86221    -0.01404    -1.56028     2.41291
   24     1.68764    -0.80152    -1.58555     1.27510
   25    -2.69245     0.87266    -2.48011     2.54994
   26    -1.80601     1.68502    -2.38584     1.89976
   27    -2.54312     1.57079    -1.52134     1.69815
   28    -1.68438     0.70969    -1.68816     2.62189
   31    -0.84230     1.77178    -1.61317     2.25079
   34     1.68639     1.78375    -2.46141     1.89604
   35     0.86343     1.82123    -1.82194     2.20280
   36     1.54787     0.91445    -1.72500     2.54451
   37    -2.52446    -2.51491    -0.77917     1.11915
   38    -1.60727    -1.55964    -1.08527     1.08203
   39    -2.48533    -1.55306    -0.02588     1.60644
   40    -1.78655    -2.49362     0.03613     1.94877
   41    -0.84896    -2.44362    -0.60189     2.07138
   42     0.10174    -1.77220    -0.68149     2.58665
   43    -0.82126    -1.61315     0.08127     2.41097
   45     0.81763    -2.53090    -0.81752     2.02220
   46     1.70696    -1.60736    -0.76708     1.18302
   47     0.81980    -1.61004     0.13659     2.44312
   48     1.64730    -2.46767    -0.07034     1.90382
   49    -2.39731    -0.84418    -0.86418     1.20198
   50    -1.57191     0.12751    -0.82291     2.26932
   51    -2.49201    -0.09652     0.07702     2.38312
   52    -1.49681    -0.78940    -0.16641     2.03179
   53    -0.73527    -0.80314    -0.85412     2.17394
   57     0.80774    -0.94536    -0.78104     2.07171
   58     1.67275    -0.06049    -0.77547     2.08466
   60     1.70268    -0.86706     0.06740     2.07692
   61    -2.36260     0.79529    -0.76470     2.61872
   62    -1.66666     1.65655    -0.66997     2.05540
   63    -2.50167     1.71004     0.02247     2.26033
   70     1.57834     1.65415    -0.87962     2.00407
   73    -2.46985    -2.50876     0.92771     2.60130
   74    -1.74452    -1.72551     0.93666     2.60560
   75    -2.59860    -1.63568     1.70078     1.72826
   76    -1.70934    -2.50961     1.63362     2.09943
   79    -0.82511    -1.70314     1.55124     2.52898
   82     1.66950    -1.74633     0.84823     2.60555
   83     0.82472    -1.77330     1.68748     2.42082
   84     1.77061    -2.52949     1.73772     1.99036
   85    -2.56356    -0.94226     0.82686     2.58111
   87    -2.67705    -0.06345     1.63898     2.47459
   88    -1.64017    -0.79619     1.61875     2.23359
   96     1.64049    -0.92043     1.60974     2.18464
   99    -2.47450     1.51018     1.76875     2.41236

List of neighbours of atom =     4
   Position of atom     4 =     -1.68396    -2.51921    -1.68549
   Number of neighbours    =    62
   Index       Position (reduced units)    Distance (reduced units)
