# Histogram for the initial velocities 
# The velocities are initially chosen randomly from a Gaussian distribution
# The mean value of the normal (Gaussian) distribution is zero
# The variance of the normal (Gaussian) distribution is =      0.84971
# (in reduced units, the variance is adimensional) 
# Velocity (reduced units)   Number of atoms having magnitude of speed
#                            in one of the components of its velocity
     -5.098234988700                            0
     -4.996270288926                            0
     -4.894305589152                            0
     -4.792340889378                            0
     -4.690376189604                            0
     -4.588411489830                            0
     -4.486446790056                            0
     -4.384482090282                            0
     -4.282517390508                            0
     -4.180552690734                            0
     -4.078587990960                            0
     -3.976623291186                            0
     -3.874658591412                            0
     -3.772693891638                            0
     -3.670729191864                            0
     -3.568764492090                            0
     -3.466799792316                            0
     -3.364835092542                            0
     -3.262870392768                            0
     -3.160905692994                            0
     -3.058940993220                            0
     -2.956976293446                            0
     -2.855011593672                            0
     -2.753046893898                            0
     -2.651082194124                            0
     -2.549117494350                            1
     -2.447152794576                            1
     -2.345188094802                            0
     -2.243223395028                            0
     -2.141258695254                            0
     -2.039293995480                            1
     -1.937329295706                            0
     -1.835364595932                            2
     -1.733399896158                            0
     -1.631435196384                            4
     -1.529470496610                            3
     -1.427505796836                            6
     -1.325541097062                            8
     -1.223576397288                            5
     -1.121611697514                            6
     -1.019646997740                            9
     -0.917682297966                            8
     -0.815717598192                            7
     -0.713752898418                            9
     -0.611788198644                           14
     -0.509823498870                            8
     -0.407858799096                           16
     -0.305894099322                           13
     -0.203929399548                           19
     -0.101964699774                            9
      0.000000000000                           19
      0.101964699774                           17
      0.203929399548                           16
      0.305894099322                           19
      0.407858799096                           11
      0.509823498870                           12
      0.611788198644                           13
      0.713752898418                            8
      0.815717598192                            5
      0.917682297966                           11
      1.019646997740                           11
      1.121611697514                            2
      1.223576397288                            5
      1.325541097062                            3
      1.427505796836                            5
      1.529470496610                            8
      1.631435196384                            2
      1.733399896158                            2
      1.835364595932                            3
      1.937329295706                            0
      2.039293995480                            1
      2.141258695254                            1
      2.243223395028                            0
      2.345188094802                            1
      2.447152794576                            0
      2.549117494350                            0
      2.651082194124                            0
      2.753046893898                            0
      2.855011593672                            0
      2.956976293446                            0
      3.058940993220                            0
      3.160905692994                            0
      3.262870392768                            0
      3.364835092542                            0
      3.466799792316                            0
      3.568764492090                            0
      3.670729191864                            0
      3.772693891638                            0
      3.874658591412                            0
      3.976623291186                            0
      4.078587990960                            0
      4.180552690734                            0
      4.282517390508                            0
      4.384482090282                            0
      4.486446790056                            0
      4.588411489830                            0
      4.690376189604                            0
      4.792340889378                            0
      4.894305589152                            0
      4.996270288926                            0
      5.098234988700                            0
